17842	16899
18062	16912
20222	10091
20206	4311
20206	4311
20194	9194
17893	17416
17781	8047
20204	2392
20224	10580
18872	14797
19491	13656
18032	2456
17903	15218
19177	12860
18217	17119
18015	15784
18004	6835
20134	1951
20100	7346
18795	11503
17932	8505
19177	15262
17982	5244
18034	9141
20195	11966
18007	9115
18007	9115
19670	6921
18072	212
19469	1114
18322	794
18251	14597
18016	2106
20229	10391
18056	12187
18021	2141
18328	12388
20184	14495
17883	9143
20186	2530
18018	17194
19010	17444
20212	13959
20160	374
19605	14445
18470	17456
18496	4170
18496	4170
20153	4398
20180	14971
17970	4853
17992	7302
18203	9472
18096	4661
19532	4326
19532	4326
18002	8812
18002	8812
17916	9392
19461	11036
20217	9241
17791	9615
19345	12656
20219	6379
17831	11423
19393	15072
19361	10735
18642	10256
18642	10256
18642	10256
18547	11497
20203	4475
17806	7247
19983	11036
18632	4894
18337	11614
18203	14438
17902	4507
17833	13815
19317	15413
18690	6208
18690	6208
17783	7348
17814	13606
20192	15364
18034	15227
20185	9096
18222	4332
18222	4332
17902	9841
19090	6909
18114	7470
20166	16664
17876	12209
19097	12039
19610	5245
17824	3867
17824	3867
20231	557
19139	91
18001	445
19001	11793
19633	14426
18119	16392
18119	16392
18119	16392
18119	16392
17897	9692
17777	10647
17777	10647
19463	11971
17892	3690
18033	4292
18033	4292
19378	6387
19378	6387
17874	205
19621	12705
19176	6985
20177	9246
18028	9959
17886	7028
20231	2323
17895	17688
17876	13310
20213	16481
20213	16481
19174	13289
19422	6903
20229	4869
20225	1001
18556	14499
17905	6404
17905	6404
17770	238
18200	10701
18238	6624
18238	6624
18238	6624
17899	15594
20233	10469
19069	3827
19069	3827
18108	7343
17958	7345
19865	465
18038	14943
18221	10641
18221	10641
17883	8647
20231	8464
18103	9221
18103	9221
17747	11571
18275	11940
18305	7740
18296	17524
17930	9495
20045	17711
20208	8874
18854	6884
19327	12624
17913	79
18849	7347
20181	5974
20181	5974
18239	17708
19178	8289
19068	11265
18213	7334
20187	9188
20187	9188
17930	13312
17800	17050
18878	13624
17988	875
17881	9388
19647	5091
19647	5091
18970	12620
18203	10983
20198	5166
18233	12020
19157	14650
19355	15665
17896	399
19148	16198
20191	4161
20191	4161
19667	5139
17933	16222
19611	7342
18004	4669
18004	4669
18119	4829
19521	12215
19794	16591
18328	13921
18268	15825
18268	15825
18390	17696
17821	13027
18026	10048
17851	591
17787	10734
19799	9081
19895	4669
19895	4669
18007	4618
20224	6136
20224	6136
17889	2449
19319	3940
19319	3940
19494	5250
19006	6278
19006	6278
19378	12509
17876	17660
20207	3707
20207	3707
18233	10147
20222	4639
17807	6923
17903	8860
19174	5295
17941	4826
18164	6459
18164	6459
18588	11583
18171	14963
18040	17108
18866	7321
18577	12121
18960	4368
17774	4568
18004	36
17842	205
17849	1980
20237	17588
19216	17659
17902	17711
18635	8133
20164	10798
17898	8257
18014	126
18034	9384
18913	14397
18233	10555
19719	10916
19719	10916
18475	9109
18475	9109
20208	4707
20208	4707
20205	16136
19541	14297
17777	5500
19042	2505
19042	2505
18729	12156
17820	12861
17930	297
18319	1136
17856	5113
20159	14112
18247	4468
19602	15206
17790	4623
18142	8842
17824	13796
18902	11026
18697	11858
17780	418
18076	14085
18007	1012
19118	13386
20230	7328
17903	10554
19225	13495
20196	12426
17852	5250
20174	2379
19423	14973
19415	5129
20223	13932
18906	16001
17877	4147
20207	1604
20207	1604
18676	12749
18339	6626
18339	6626
18339	6626
17990	4580
17871	7243
20194	4800
18859	5000
19349	8303
17825	6762
17825	6762
18607	13036
18326	10521
20216	15817
20216	15817
19693	12429
18737	16583
20177	297
18033	1135
18009	4698
18009	4698
19112	5749
19631	5086
19631	5086
20213	17225
19680	5262
19954	177
17874	17644
18628	14575
17769	17721
17769	17721
17907	17433
18900	6849
18054	12743
17807	12377
20200	6390
20200	6390
17912	6478
17912	6478
20164	11534
18630	12447
18060	15
18060	15
19010	17604
18029	12164
18746	11563
19515	12445
18567	8151
20158	16461
20158	16461
19317	11268
18007	16399
18007	16399
18057	7205
19767	1753
19324	11692
18569	5208
17883	17588
17787	11651
18540	11572
19348	6550
19918	3362
19779	15791
17922	4446
18050	3704
18050	3704
19145	13413
